Name,Full Name,Owner,License,Description,Language,Stars,Forks,Open Issues,Created At,Updated At,GitHub URL
dive-into-machine-learning,dive-into-machine-learning/dive-into-machine-learning,dive-into-machine-learning,CC-BY-4.0,"Free ways to dive into machine learning with Python and Jupyter Notebook. Notebooks, courses, and other links. (First posted in 2016.)",Unknown,11392,1866,0,2015-02-22 23:48:16+00:00,2026-08-17 19:11:54+00:00,https://github.com/dive-into-machine-learning/dive-into-machine-learning
3D-Machine-Learning,timzhang642/3D-Machine-Learning,timzhang642,Unknown,A resource repository for 3D machine learning,Unknown,10193,1797,21,2017-08-12 15:20:54+00:00,2026-08-18 08:44:49+00:00,https://github.com/timzhang642/3D-Machine-Learning
MachineLearning,carefree0910/MachineLearning,carefree0910,MIT,Machine learning algorithms implemented by pure numpy,Jupyter Notebook,1094,714,9,2016-09-18 09:37:01+00:00,2026-07-23 03:54:44+00:00,https://github.com/carefree0910/MachineLearning
industry-machine-learning,firmai/industry-machine-learning,firmai,Unknown,A curated list of applied machine learning and data science notebooks and libraries across different industries (by @firmai),Jupyter Notebook,7485,1249,3,2019-05-03 05:08:15+00:00,2026-08-17 08:53:36+00:00,https://github.com/firmai/industry-machine-learning
machine-learning-systems-design,chiphuyen/machine-learning-systems-design,chiphuyen,Unknown,"A booklet on machine learning systems design with exercises. NOT the repo for the book ""Designing Machine Learning Systems"", which is `dmls-book`",HTML,10526,1631,11,2019-11-24 23:16:28+00:00,2026-08-18 08:05:57+00:00,https://github.com/chiphuyen/machine-learning-systems-design
machine-learning-course,instillai/machine-learning-course,instillai,Unknown,:speech_balloon: Machine Learning Course with Python: ,Python,7045,1233,1,2019-02-15 00:23:19+00:00,2026-08-10 20:26:53+00:00,https://github.com/instillai/machine-learning-course
machine-learning-roadmap,mrdbourke/machine-learning-roadmap,mrdbourke,MIT,"A roadmap connecting many of the most important concepts in machine learning, how to learn them and what tools to use to perform them.",Unknown,7893,1168,12,2020-07-09 07:07:47+00:00,2026-08-15 21:26:11+00:00,https://github.com/mrdbourke/machine-learning-roadmap
MachineLearning,csuldw/MachineLearning,csuldw,Unknown,"Machine learning resources，including algorithm, paper, dataset, example and so on.",Python,846,678,2,2016-02-20 05:53:47+00:00,2026-07-19 14:30:01+00:00,https://github.com/csuldw/MachineLearning
DL-Notes-for-Interview,vivienzou1/DL-Notes-for-Interview,vivienzou1,Unknown,deep learning/ machine learning,Unknown,372,7859,4,2018-06-09 21:52:58+00:00,2026-08-05 07:16:13+00:00,https://github.com/vivienzou1/DL-Notes-for-Interview
machine-learning,teddylee777/machine-learning,teddylee777,Unknown,머신러닝 입문자 혹은 스터디를 준비하시는 분들에게 도움이 되고자 만든 repository입니다. (This repository is intented for helping whom are interested in machine learning study),Jupyter Notebook,3273,942,9,2018-09-02 05:55:25+00:00,2026-08-17 12:17:20+00:00,https://github.com/teddylee777/machine-learning
